PID   USER     TIME  COMMAND
    1 root      0:01 bash /init
    2 root      0:00 [kthreadd]
    4 root      0:00 [kworker/0:0H]
    6 root      0:00 [mm_percpu_wq]
    7 root      0:00 [ksoftirqd/0]
    8 root      0:00 [rcu_preempt]
    9 root      0:00 [rcu_sched]
   10 root      0:00 [rcu_bh]
   11 root      0:00 [rcuop/0]
   12 root      0:00 [rcuos/0]
   13 root      0:00 [rcuob/0]
   14 root      0:00 [migration/0]
   15 root      0:00 [tz_worker_threa]
   16 root      0:00 [sec_audio_dbg_s]
   17 root      0:00 [watchdog/0]
   18 root      0:00 [cpuhp/0]
   19 root      0:00 [cpuhp/1]
   20 root      0:00 [watchdog/1]
   21 root      0:00 [tz_worker_threa]
   22 root      0:00 [migration/1]
   23 root      0:00 [ksoftirqd/1]
   24 root      0:00 [kworker/1:0]
   25 root      0:00 [kworker/1:0H]
   26 root      0:00 [rcuop/1]
   27 root      0:00 [rcuos/1]
   28 root      0:00 [rcuob/1]
   29 root      0:00 [cpuhp/2]
   30 root      0:00 [watchdog/2]
   31 root      0:00 [tz_worker_threa]
   32 root      0:00 [migration/2]
   33 root      0:00 [ksoftirqd/2]
   34 root      0:00 [kworker/2:0]
   35 root      0:00 [kworker/2:0H]
   36 root      0:00 [rcuop/2]
   37 root      0:00 [rcuos/2]
   38 root      0:00 [rcuob/2]
   39 root      0:00 [cpuhp/3]
   40 root      0:00 [watchdog/3]
   41 root      0:00 [tz_worker_threa]
   42 root      0:00 [migration/3]
   43 root      0:00 [ksoftirqd/3]
   44 root      0:00 [kworker/3:0]
   45 root      0:00 [kworker/3:0H]
   46 root      0:00 [rcuop/3]
   47 root      0:00 [rcuos/3]
   48 root      0:00 [rcuob/3]
   49 root      0:00 [cpuhp/4]
   50 root      0:00 [watchdog/4]
   51 root      0:00 [tz_worker_threa]
   52 root      0:00 [migration/4]
   53 root      0:00 [ksoftirqd/4]
   54 root      0:00 [kworker/4:0]
   55 root      0:00 [kworker/4:0H]
   56 root      0:00 [rcuop/4]
   57 root      0:00 [rcuos/4]
   58 root      0:00 [rcuob/4]
   59 root      0:00 [cpuhp/5]
   60 root      0:00 [watchdog/5]
   61 root      0:00 [tz_worker_threa]
   62 root      0:00 [migration/5]
   63 root      0:00 [ksoftirqd/5]
   64 root      0:00 [kworker/5:0]
   65 root      0:00 [kworker/5:0H]
   66 root      0:00 [rcuop/5]
   67 root      0:00 [rcuos/5]
   68 root      0:00 [rcuob/5]
   69 root      0:00 [cpuhp/6]
   70 root      0:00 [watchdog/6]
   71 root      0:00 [tz_worker_threa]
   72 root      0:00 [migration/6]
