CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,442000,1637.000578,3.70362121719457,-21.414977824175825,-3.92491827610784,-76.43471249482833,183.279119331
1,546000,2022.640085,3.70446902014652,-16.784623217687077,-2.4897308951019497,-120.49495011295814,148.334035433
1,650000,2408.400501,3.70523154,-14.58402590322581,-1.8168289147995835,-165.12286740718972,124.57663795
1,806000,2986.828088,3.7057420446650124,-2.313923569999998,-0.2324364050209193,-1290.6756150053172,100.451202466
1,949000,3517.122525,3.70613543203372,19.031092352941165,1.623478146276057,184.78844368071208,85.306619093
1,1053000,3902.28674,3.70587534662868,31.268393697368424,2.4040957065609856,124.78704536648604,76.885807753
1,1157000,4287.674365,3.7058551123595502,43.751047565217384,3.0615078109964307,97.99093078333804,69.975645873
1,1300000,4817.806613,3.7060050869230765,63.72225106451613,3.968355177110664,75.59807189900482,62.275815917
1,1456000,5396.265784,3.7062265,84.5781191818182,4.702728411796194,63.792754701183306,55.602187153
1,1586000,5878.088446,3.7062348335435056,128.27657790000004,6.547811008046597,45.81683857877546,51.044478386
1,1742000,6455.500086,3.7057979827784155,182.96788680434787,8.503945800199228,35.27774130368654,46.477805197
1,1846000,6840.413161,3.7055325899241605,219.137306627907,9.611958003548386,31.211122633832865,43.862718546
1,1950000,7226.129685,3.7057075307692307,265.31737560975614,11.016758358541162,27.23124082751743,41.522943355
4,507000,3144.456324,6.202083479289941,21.592656326315794,2.060417714296187,145.60154376389465,95.422151085
4,650000,4030.524506,6.200806932307692,48.233457945945936,3.59081907191554,83.54639818707533,74.446643986
4,754000,4684.425846,6.212766374005305,66.77812338095238,4.277712346496094,70.13094282642268,64.0585888
4,845000,5239.717055,6.200848585798816,82.43766185964913,4.721268415888324,63.5422461875754,57.270770536
4,962000,5973.120956,6.209065442827443,107.07925148000002,5.379612161111676,55.766101907615244,50.239538349
4,1066000,6632.472586,6.221831694183865,129.0593784,5.839140800411413,51.377421825290234,45.243831737
4,1222000,7566.204288,6.191656536824877,172.1456621538462,6.827518785683898,43.939827837463746,39.661288587
4,1404000,8672.525439,6.17701242094017,234.58807205882354,8.11708087160906,36.959099551330524,34.601421975
4,1508000,9341.138373,6.194388841511937,264.815870125,8.507499173794615,35.263006657006876,32.126092631
4,1586000,9877.518767,6.2279437370744,287.2161227,8.726478678382176,34.37812788601436,30.382969439
4,1690000,10483.27917,6.2031237692307695,367.8095608928572,10.529300801087961,28.491920372243698,28.627044864
4,1794000,11159.883937,6.220671090858417,422.2540895769231,11.354610302787256,26.420986013615803,26.890468519
4,1898000,11775.326765,6.204071003688092,494.74083576000004,12.608518370774556,23.793437989936532,25.485097367
4,2002000,12424.418123,6.206003058441558,554.815664,13.401348101880453,22.38580758587299,24.15459579
4,2106000,13042.911178,6.193215184235518,654.5656265454546,15.06153028299259,19.91829477903441,23.009962137
4,2210000,13734.377146,6.2146502923076925,748.574996,16.35688820032832,18.34089689467819,21.850700715
4,2314000,14382.970563,6.215631185393259,1043.5115865,21.76996927727399,13.78045123440641,20.862220946
6,520000,4195.569479,8.06840284423077,124.76683614084509,8.923356587369808,33.619635959031655,71.520260218
6,624000,5034.317263,8.067816126602564,162.37412549152543,9.678827579032095,30.995489644831622,59.608189111
6,728000,5871.875673,8.065763287087911,182.39076800000004,9.32177135477603,32.18272456836161,51.108789425
6,819000,6607.056336,8.067223853479852,231.8833102888889,10.532585643246575,28.48303447618848,45.421922044
6,936000,7547.359682,8.063418463675214,278.6230495384616,11.079508911518975,27.077012383473114,39.765227356
6,1040000,8387.150885,8.064568158653845,320.24643702857145,11.460344074292703,26.177224527921958,35.786015859
6,1144000,9223.106957,8.062156430944055,419.25977043750004,13.643283581155716,21.98884148493138,32.541361092
6,1248000,10062.386798,8.062809934294872,464.7272186896552,13.861906598324712,21.642044539259604,29.828049748
6,1378000,11115.227862,8.066203092888244,551.1597080769232,14.883099751678738,20.157091264953827,27.003243404
6,1456000,11739.385639,8.06276486195055,606.4030656,15.505706621684077,19.347715477891388,25.569967405
6,1560000,12619.888945,8.089672400641026,692.3563733478261,16.468267709252217,18.21685226986283,23.785825253
6,1664000,13418.015923,8.063711492187501,797.683848,17.846128524330567,16.81036867973881,22.3724331
6,1820000,14678.539975,8.065131854395604,938.4491584,19.192418381239893,15.631172374464413,20.451207409
6,1976000,15924.412124,8.058913018218623,1188.4469135,22.405713537813792,13.389441915951233,18.852935948
6,2080000,16759.776536,8.057584873076923,1346.7595685294118,24.12274241716649,12.436396940776962,17.911691872
6,2236000,18041.857108,8.068809082289803,1793.2385180625001,29.838548365438417,10.05410840788374,16.639475488
6,2340000,18871.485186,8.06473725897436,1962.4795844666667,31.219172005396626,9.609479711638132,15.908023835
6,2470000,19933.554817,8.070265108097166,2344.0518062666665,35.305477460702114,8.497265058486308,15.061730874
6,2530000,20397.062823,8.062080167193676,2621.122451,38.582403063989496,7.775565443719135,14.719801835
6,2600000,21001.050053,8.077326943461538,3050.0873468571426,43.60827668684835,6.879428007538666,14.297386182
6,2730000,22026.431718,8.068290006593406,3462.347259461538,47.2000733153083,6.3559223307965,13.63239149
